,TRIP.CODE,HAUL.CODE,YEAR,Gear.Class,MESH.SIZE.RANGE,TargetAssemblage,metier5,metier6,CHECK
36893,PH123HL,9,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36899,PH123HL,10,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36901,PH123HL,13,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36907,PH123HL,6,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36908,AX123HL,1,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36914,AX123HL,2,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36923,BM123HL,1,2023,LHM,xxx,FIF,LHM_FIF,LHM_FIF_xxx,1
36968,NN923GN,5,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
36991,NN823GN,8,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37002,NN823GN,7,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37006,NN823GN,9,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37046,NN823GN,2,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37111,NN823GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37127,NN923GN,4,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37168,NN823GN,1,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37208,NN923GN,1,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37289,NN823GN,6,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37302,NN923GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37329,NN823GN,5,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37446,NN823GN,12,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
37474,NN823GN,11,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
37642,NN823GN,4,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
37693,NN923GN,2,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38078,NN123GN,2,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38082,NN123GN,1,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38083,NN123GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38113,NN123GN,11,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
38169,NN123GN,16,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38210,NN123GN,12,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38222,NN123GN,13,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38284,NN123GN,6,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38315,NN123GN,4,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38414,NN123GN,15,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38621,NN123GN,5,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38648,NN123GN,10,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
38682,NN123GN,7,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
38711,NN123GN,9,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
39465,NN723GN,2,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
39469,NN723GN,1,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
39716,NN623GN,5,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
39724,NN623GN,4,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
39763,NN623GN,2,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
39939,NN623GN,6,2023,GTR,xxx,DEF,GTR_DEF,GTR_DEF_xxx,1
39943,NN623GN,3,2023,GNS,xxx,DEF,GNS_DEF,GNS_DEF_xxx,1
40554,PH223OT,8,2023,OTB,>=120,DEF,OTB_DEF,OTB_DEF_>=120,1
40856,PH123OT,1,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
40877,PH123OT,2,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
41217,NW523OT,1,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
41317,NW523OT,2,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
41438,NW423OT,1,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
41603,NW323OT,1,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
41710,NW223OT,2,2023,OTB,70-99,DEF,OTB_DEF,OTB_DEF_70-99,1
